gene	Sample_ID	compendium_version	rollup_cohort
AC006262.5	TH34_1149_S02	v7	pancancer
AC055736.1	TH34_1149_S02	v7	pancancer
AC093818.1	TH34_1149_S02	v7	pancancer
ADAM19	TH34_1149_S02	v7	pancancer
ADRA1B	TH34_1149_S02	v7	pancancer
AGER	TH34_1149_S02	v7	pancancer
AMH	TH34_1149_S02	v7	pancancer
ANKRD1	TH34_1149_S02	v7	pancancer
APBB2	TH34_1149_S02	v7	pancancer
ATP1B3	TH34_1149_S02	v7	pancancer
BANCR	TH34_1149_S02	v7	pancancer
C21orf91	TH34_1149_S02	v7	pancancer
C8orf58	TH34_1149_S02	v7	pancancer
CDC14A	TH34_1149_S02	v7	pancancer
CHKB-CPT1B	TH34_1149_S02	v7	pancancer
CLEC2L	TH34_1149_S02	v7	pancancer
CMKLR1	TH34_1149_S02	v7	pancancer
CSNK2B-LY6G5B-1181	TH34_1149_S02	v7	pancancer
DESI2	TH34_1149_S02	v7	pancancer
DKFZp434J0226	TH34_1149_S02	v7	pancancer
DLGAP1	TH34_1149_S02	v7	pancancer
ENO3	TH34_1149_S02	v7	pancancer
EPHA7	TH34_1149_S02	v7	pancancer
FAM159B	TH34_1149_S02	v7	pancancer
FBXO32	TH34_1149_S02	v7	pancancer
FBXW7	TH34_1149_S02	v7	pancancer
FCN3	TH34_1149_S02	v7	pancancer
FNTB	TH34_1149_S02	v7	pancancer
HSPA2	TH34_1149_S02	v7	pancancer
HSPG2	TH34_1149_S02	v7	pancancer
IGF1	TH34_1149_S02	v7	pancancer
IGFL2	TH34_1149_S02	v7	pancancer
IGFL3	TH34_1149_S02	v7	pancancer
ITGA6	TH34_1149_S02	v7	pancancer
KANK4	TH34_1149_S02	v7	pancancer
KRT4	TH34_1149_S02	v7	pancancer
KRT6A	TH34_1149_S02	v7	pancancer
L1TD1	TH34_1149_S02	v7	pancancer
LBX1-AS1	TH34_1149_S02	v7	pancancer
LEFTY1	TH34_1149_S02	v7	pancancer
LENG8	TH34_1149_S02	v7	pancancer
LINC00052	TH34_1149_S02	v7	pancancer
