gene	Sample_ID	TCGA	Treehouse_pc	TCGA_not_treehouse_pc	PEDAYA	TH03_TH34	Treehouse_pd
AKT1	TH34_1444_S01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
AKT1	TH34_1452_S01	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
AKT2	TH34_1444_S01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
ALK	TH34_1414_S01	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
BCL6	TH34_2292_S01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
BCL6	TH34_1150_S02	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
BTK	TH34_1238_S01	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
BTK	TH34_1239_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
BTK	TH34_1350_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
CCND1	TH34_1150_S02	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
CCND2	TH34_1352_S01	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
CCND2	TH34_1379_S01	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
CCND3	TH34_1238_S01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
CCND3	TH34_1239_S01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
CCNE1	TH34_1447_S01	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
CDK4	TH34_2411_S01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
CDK4	TH34_1414_S01	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
CDK9	TH34_1238_S01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
CDK9	TH34_1455_S01	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
CDK9	TH34_1150_S02	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
CSF1R	TH34_1162_S01	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
DEPTOR	TH34_1444_S01	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
ETV1	TH34_1349_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
ETV1	TH34_1349_S02	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
ETV1	TH34_1445_S02	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
ETV1	TH34_2292_S01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
FGFR1	TH34_1179_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
FGFR1	TH34_1352_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
