gene	Sample_ID	compendium_version	rollup_cohort
ABHD6	TH34_1162_S01	v11_polya	PEDAYA_rollup
ACACB	TH34_1162_S01	v11_polya	PEDAYA_rollup
ADGRG2	TH34_1162_S01	v11_polya	PEDAYA_rollup
ARHGAP17	TH34_1162_S01	v11_polya	PEDAYA_rollup
ARTN	TH34_1162_S01	v11_polya	PEDAYA_rollup
ASGR1	TH34_1162_S01	v11_polya	PEDAYA_rollup
ATP1A1	TH34_1162_S01	v11_polya	PEDAYA_rollup
C1orf61	TH34_1162_S01	v11_polya	PEDAYA_rollup
CCDC171	TH34_1162_S01	v11_polya	PEDAYA_rollup
CCK	TH34_1162_S01	v11_polya	PEDAYA_rollup
CCL18	TH34_1162_S01	v11_polya	PEDAYA_rollup
CDH23	TH34_1162_S01	v11_polya	PEDAYA_rollup
CEACAM6	TH34_1162_S01	v11_polya	PEDAYA_rollup
CES1	TH34_1162_S01	v11_polya	PEDAYA_rollup
CLDN1	TH34_1162_S01	v11_polya	PEDAYA_rollup
CYP4F22	TH34_1162_S01	v11_polya	PEDAYA_rollup
DCHS2	TH34_1162_S01	v11_polya	PEDAYA_rollup
DLG2	TH34_1162_S01	v11_polya	PEDAYA_rollup
DPT	TH34_1162_S01	v11_polya	PEDAYA_rollup
DUOX2	TH34_1162_S01	v11_polya	PEDAYA_rollup
DUOXA2	TH34_1162_S01	v11_polya	PEDAYA_rollup
FABP4	TH34_1162_S01	v11_polya	PEDAYA_rollup
FAM65C	TH34_1162_S01	v11_polya	PEDAYA_rollup
FCGRT	TH34_1162_S01	v11_polya	PEDAYA_rollup
FEZF1-AS1	TH34_1162_S01	v11_polya	PEDAYA_rollup
FREM1	TH34_1162_S01	v11_polya	PEDAYA_rollup
FRG2FP	TH34_1162_S01	v11_polya	PEDAYA_rollup
FTL	TH34_1162_S01	v11_polya	PEDAYA_rollup
GLCE	TH34_1162_S01	v11_polya	PEDAYA_rollup
GRP	TH34_1162_S01	v11_polya	PEDAYA_rollup
HAP1	TH34_1162_S01	v11_polya	PEDAYA_rollup
HMCN1	TH34_1162_S01	v11_polya	PEDAYA_rollup
HMOX1	TH34_1162_S01	v11_polya	PEDAYA_rollup
HOXD10	TH34_1162_S01	v11_polya	PEDAYA_rollup
HOXD11	TH34_1162_S01	v11_polya	PEDAYA_rollup
HOXD9	TH34_1162_S01	v11_polya	PEDAYA_rollup
IL24	TH34_1162_S01	v11_polya	PEDAYA_rollup
