gene	Sample_ID	compendium_version	rollup_cohort	drugs
ABHD6	TH34_1162_S01	v7	v7_TCGA_rollup	
ACACB	TH34_1162_S01	v7	v7_TCGA_rollup	
ACIN1	TH34_1162_S01	v7	v7_TCGA_rollup	
ACTN2	TH34_1162_S01	v7	v7_TCGA_rollup	
ADAMTS10	TH34_1162_S01	v7	v7_TCGA_rollup	
ADGRG2	TH34_1162_S01	v7	v7_TCGA_rollup	
AGER	TH34_1162_S01	v7	v7_TCGA_rollup	
ALG9	TH34_1162_S01	v7	v7_TCGA_rollup	
AP4B1	TH34_1162_S01	v7	v7_TCGA_rollup	
ARHGAP17	TH34_1162_S01	v7	v7_TCGA_rollup	
ARTN	TH34_1162_S01	v7	v7_TCGA_rollup	
ASGR1	TH34_1162_S01	v7	v7_TCGA_rollup	
ATG16L2	TH34_1162_S01	v7	v7_TCGA_rollup	
ATP1A1	TH34_1162_S01	v7	v7_TCGA_rollup	
C1orf61	TH34_1162_S01	v7	v7_TCGA_rollup	
CCDC14	TH34_1162_S01	v7	v7_TCGA_rollup	
CCDC171	TH34_1162_S01	v7	v7_TCGA_rollup	
CCK	TH34_1162_S01	v7	v7_TCGA_rollup	
CCNL2	TH34_1162_S01	v7	v7_TCGA_rollup	
CDH23	TH34_1162_S01	v7	v7_TCGA_rollup	
CDH24	TH34_1162_S01	v7	v7_TCGA_rollup	
CEACAM21	TH34_1162_S01	v7	v7_TCGA_rollup	
CHKB	TH34_1162_S01	v7	v7_TCGA_rollup	
CLEC11A	TH34_1162_S01	v7	v7_TCGA_rollup	
COG7	TH34_1162_S01	v7	v7_TCGA_rollup	
CSAD	TH34_1162_S01	v7	v7_TCGA_rollup	
CTC-575D19.1	TH34_1162_S01	v7	v7_TCGA_rollup	
CYP26B1	TH34_1162_S01	v7	v7_TCGA_rollup	
CYP4F22	TH34_1162_S01	v7	v7_TCGA_rollup	
D2HGDH	TH34_1162_S01	v7	v7_TCGA_rollup	
DAPK1	TH34_1162_S01	v7	v7_TCGA_rollup	
DCHS2	TH34_1162_S01	v7	v7_TCGA_rollup	
DLG2	TH34_1162_S01	v7	v7_TCGA_rollup	
DUOX2	TH34_1162_S01	v7	v7_TCGA_rollup	
DUOXA2	TH34_1162_S01	v7	v7_TCGA_rollup	
EGFLAM	TH34_1162_S01	v7	v7_TCGA_rollup	
EPB41	TH34_1162_S01	v7	v7_TCGA_rollup	
FAM118A	TH34_1162_S01	v7	v7_TCGA_rollup	
FAM156B	TH34_1162_S01	v7	v7_TCGA_rollup	
FAM19A5	TH34_1162_S01	v7	v7_TCGA_rollup	
FAM65C	TH34_1162_S01	v7	v7_TCGA_rollup	
FCGRT	TH34_1162_S01	v7	v7_TCGA_rollup	
FEZF1-AS1	TH34_1162_S01	v7	v7_TCGA_rollup	
FLRT2	TH34_1162_S01	v7	v7_TCGA_rollup	
FREM1	TH34_1162_S01	v7	v7_TCGA_rollup	
FRG2FP	TH34_1162_S01	v7	v7_TCGA_rollup	
FTL	TH34_1162_S01	v7	v7_TCGA_rollup	
GAS1	TH34_1162_S01	v7	v7_TCGA_rollup	
GATA2	TH34_1162_S01	v7	v7_TCGA_rollup	bortezomib,fasudil,BORTEZOMIB,FASUDIL
GLCE	TH34_1162_S01	v7	v7_TCGA_rollup	
GLG1	TH34_1162_S01	v7	v7_TCGA_rollup	
GP1BB	TH34_1162_S01	v7	v7_TCGA_rollup	
GRP	TH34_1162_S01	v7	v7_TCGA_rollup	
GYG2	TH34_1162_S01	v7	v7_TCGA_rollup	
