gene	Sample_ID	compendium_version	rollup_cohort
ACAD9	TH34_1150_S02	v8	lowstringency_pd_outliers
ADAM33	TH34_1150_S02	v8	lowstringency_pd_outliers
AHI1	TH34_1150_S02	v8	lowstringency_pd_outliers
AHNAK2	TH34_1150_S02	v8	lowstringency_pd_outliers
AL132780.1	TH34_1150_S02	v8	lowstringency_pd_outliers
AMPD2	TH34_1150_S02	v8	lowstringency_pd_outliers
ANKRD10	TH34_1150_S02	v8	lowstringency_pd_outliers
ARL17A	TH34_1150_S02	v8	lowstringency_pd_outliers
BCL6	TH34_1150_S02	v8	lowstringency_pd_outliers
BRPF3	TH34_1150_S02	v8	lowstringency_pd_outliers
BTG3	TH34_1150_S02	v8	lowstringency_pd_outliers
BZRAP1	TH34_1150_S02	v8	lowstringency_pd_outliers
CD46	TH34_1150_S02	v8	lowstringency_pd_outliers
CDK9	TH34_1150_S02	v8	lowstringency_pd_outliers
CDKN1B	TH34_1150_S02	v8	lowstringency_pd_outliers
CEP57	TH34_1150_S02	v8	lowstringency_pd_outliers
CEP95	TH34_1150_S02	v8	lowstringency_pd_outliers
CH17-232I21.1	TH34_1150_S02	v8	lowstringency_pd_outliers
CIC	TH34_1150_S02	v8	lowstringency_pd_outliers
CNOT2	TH34_1150_S02	v8	lowstringency_pd_outliers
CTD-2270P14.1	TH34_1150_S02	v8	lowstringency_pd_outliers
DAAM2	TH34_1150_S02	v8	lowstringency_pd_outliers
DDR1	TH34_1150_S02	v8	lowstringency_pd_outliers
DDX42	TH34_1150_S02	v8	lowstringency_pd_outliers
DIDO1	TH34_1150_S02	v8	lowstringency_pd_outliers
DMTF1	TH34_1150_S02	v8	lowstringency_pd_outliers
DUSP22	TH34_1150_S02	v8	lowstringency_pd_outliers
DYNC2LI1	TH34_1150_S02	v8	lowstringency_pd_outliers
DYNLL2	TH34_1150_S02	v8	lowstringency_pd_outliers
EFS	TH34_1150_S02	v8	lowstringency_pd_outliers
ELF2	TH34_1150_S02	v8	lowstringency_pd_outliers
EOGT	TH34_1150_S02	v8	lowstringency_pd_outliers
EPCAM	TH34_1150_S02	v8	lowstringency_pd_outliers
EWSR1	TH34_1150_S02	v8	lowstringency_pd_outliers
EXOC6B	TH34_1150_S02	v8	lowstringency_pd_outliers
