gene	Sample_ID	compendium_version	drugs	rollup_cohort	Pathway_support_for_outlier
ACAD9	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
ADAM33	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
AHI1	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
AHNAK2	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
AL132780.1	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
AMPD2	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
ANKRD10	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
ARL17A	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
BCL6	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
BRPF3	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
BTG3	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
BZRAP1	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
CD46	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
CDK9	TH34_1150_S02	v8	SCH 727965,ALVOCIDIB,SELICICLIB,SCH727965,Roniciclib,Flavopiridol,DINACICLIB,SNS-032,BMS-387032,BAY1000394	lowstringency_pd_outliers	NO_OVERLAPS_FOUND
CDKN1B	TH34_1150_S02	v8	LAPATINIB	lowstringency_pd_outliers	NO_OVERLAPS_FOUND
CEP57	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
CEP95	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
CH17-232I21.1	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
CIC	TH34_1150_S02	v8	SELUMETINIB (AZD6244),VEMURAFENIB,TRAMETINIB	lowstringency_pd_outliers	NO_OVERLAPS_FOUND
CNOT2	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
CTD-2270P14.1	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
DAAM2	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
DDR1	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
DDX42	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
DIDO1	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
DMTF1	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
DUSP22	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
DYNC2LI1	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
DYNLL2	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
EFS	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
ELF2	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
EOGT	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
EPCAM	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
EWSR1	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
EXOC6B	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
FAM219B	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
FBXO11	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
FNBP4	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
FPGS	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
FTSJ3	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
GOLGA8N	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
GOSR2	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
GREB1	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
GREM1	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
HHIP-AS1	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
HIST1H2BG	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
HOXB8	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
IGLV3-25	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
KANSL1	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
KIAA0907	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
LDB1	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
LRCH3	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
LTBP3	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
LTBP4	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
LUC7L3	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
MAPK13	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
MEIS3	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
MFGE8	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
MIR124-2HG	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
MOXD1	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
MRPL10	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
NAPSA	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
NME1-NME2	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
NOB1	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
NPEPPS	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
NUDCD2	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
NUP93	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
PAGR1	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
PAXBP1	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
PCSK1	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
PLEKHA7	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
PLEKHH2	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
PPFIA1	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
PRDM2	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
PTPRR	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
RBBP6	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
RBL2	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
RCN2	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
RERG	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
RERGL	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
RHBDD3	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
RNA5SP187	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
RP11-156P1.3	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
RP11-575L7.8	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
RSAD1	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
SCN1A	TH34_1150_S02	v8		lowstringency_pd_outliers	NO_OVERLAPS_FOUND
