
Overlap Results

Collection(s):	CP, H
# overlaps shown:	4
# genesets in collections:	1379
# genes in comparison (n):	75
# genes in universe (N):	45956

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
NABA_ECM_AFFILIATED	171	Genes encoding proteins affiliated structurally or functionally to extracellular matrix proteins	7	0.04094	1.4e-8	1.931e-5
REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	24	Genes involved in Termination of O-glycan biosynthesis	3	0.125	8.243e-6	0.005684
NABA_MATRISOME_ASSOCIATED	753	Ensemble of genes encoding ECM-associated proteins including ECM-affilaited proteins, ECM regulators and secreted factors	8	0.01062	3.212e-5	0.01477
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS	59	Genes involved in O-linked glycosylation of mucins	3	0.05085	1.271e-4	0.04381


Gene/Gene Set Overlap Matrix

Entrez Gene Id	Gene Symbol	Gene Description	NABA_ECM_AFFILIATED	REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	NABA_MATRISOME_ASSOCIATED	REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS
4588	MUC6	mucin 6, oligomeric mucus/gel-forming	NABA_ECM_AFFILIATED	REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	NABA_MATRISOME_ASSOCIATED	REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS
4586	MUC5AC	mucin 5AC, oligomeric mucus/gel-forming	NABA_ECM_AFFILIATED	REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	NABA_MATRISOME_ASSOCIATED	REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS
4583	MUC2	mucin 2, oligomeric mucus/gel-forming	NABA_ECM_AFFILIATED	REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	NABA_MATRISOME_ASSOCIATED	REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS
6440	SFTPC	surfactant protein C	NABA_ECM_AFFILIATED		NABA_MATRISOME_ASSOCIATED	
6439	SFTPB	surfactant protein B	NABA_ECM_AFFILIATED		NABA_MATRISOME_ASSOCIATED	
729238	SFTPA2	surfactant protein A2	NABA_ECM_AFFILIATED		NABA_MATRISOME_ASSOCIATED	
653509	SFTPA1	surfactant protein A1	NABA_ECM_AFFILIATED		NABA_MATRISOME_ASSOCIATED	
147381	CBLN2	cerebellin 2 precursor			NABA_MATRISOME_ASSOCIATED	
85446	ZFHX2	zinc finger homeobox 2				
51352	WT1-AS	WT1 antisense RNA				
65266	WNK4	WNK lysine deficient protein kinase 4				
65268	WNK2	WNK lysine deficient protein kinase 2				
7425	VGF	VGF nerve growth factor inducible				
NA	T	NA				
221711	SYCP2L	synaptonemal complex protein 2 like				
100130958	SYCE1L	synaptonemal complex central element protein 1 like				
6783	SULT1E1	sulfotransferase family 1E member 1				
57731	SPTBN4	spectrin beta, non-erythrocytic 4				
