
Overlap Results

Collection(s):	CP, H
# overlaps shown:	4
# genesets in collections:	1379
# genes in comparison (n):	89
# genes in universe (N):	45956

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
NABA_ECM_AFFILIATED	171	Genes encoding proteins affiliated structurally or functionally to extracellular matrix proteins	7	0.04094	4.653e-8	6.417e-5
NABA_MATRISOME	1028	Ensemble of genes encoding extracellular matrix and extracellular matrix-associated proteins	11	0.0107	4.956e-6	0.003417
REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	24	Genes involved in Termination of O-glycan biosynthesis	3	0.125	1.38e-5	0.006342
NABA_MATRISOME_ASSOCIATED	753	Ensemble of genes encoding ECM-associated proteins including ECM-affilaited proteins, ECM regulators and secreted factors	8	0.01062	1.1e-4	0.03794


Gene/Gene Set Overlap Matrix

Entrez Gene Id	Gene Symbol	Gene Description	NABA_ECM_AFFILIATED	NABA_MATRISOME	REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	NABA_MATRISOME_ASSOCIATED
4588	MUC6	mucin 6, oligomeric mucus/gel-forming	NABA_ECM_AFFILIATED	NABA_MATRISOME	REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	NABA_MATRISOME_ASSOCIATED
4586	MUC5AC	mucin 5AC, oligomeric mucus/gel-forming	NABA_ECM_AFFILIATED	NABA_MATRISOME	REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	NABA_MATRISOME_ASSOCIATED
4583	MUC2	mucin 2, oligomeric mucus/gel-forming	NABA_ECM_AFFILIATED	NABA_MATRISOME	REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS	NABA_MATRISOME_ASSOCIATED
6440	SFTPC	surfactant protein C	NABA_ECM_AFFILIATED	NABA_MATRISOME		NABA_MATRISOME_ASSOCIATED
6439	SFTPB	surfactant protein B	NABA_ECM_AFFILIATED	NABA_MATRISOME		NABA_MATRISOME_ASSOCIATED
729238	SFTPA2	surfactant protein A2	NABA_ECM_AFFILIATED	NABA_MATRISOME		NABA_MATRISOME_ASSOCIATED
653509	SFTPA1	surfactant protein A1	NABA_ECM_AFFILIATED	NABA_MATRISOME		NABA_MATRISOME_ASSOCIATED
147381	CBLN2	cerebellin 2 precursor		NABA_MATRISOME		NABA_MATRISOME_ASSOCIATED
2201	FBN2	fibrillin 2		NABA_MATRISOME		
1299	COL9A3	collagen type IX alpha 3 chain		NABA_MATRISOME		
