
Overlap Results

Collection(s):	CP, H
# overlaps shown:	4
# genesets in collections:	1379
# genes in comparison (n):	85
# genes in universe (N):	45956

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
NABA_ECM_AFFILIATED	171	Genes encoding proteins affiliated structurally or functionally to extracellular matrix proteins	8	0.04678	1.175e-9	1.621e-6
NABA_MATRISOME	1028	Ensemble of genes encoding extracellular matrix and extracellular matrix-associated proteins	14	0.01362	6.267e-9	4.321e-6
NABA_MATRISOME_ASSOCIATED	753	Ensemble of genes encoding ECM-associated proteins including ECM-affilaited proteins, ECM regulators and secreted factors	12	0.01594	1.516e-8	6.968e-6
PID_HNF3A_PATHWAY	44	FOXA1 transcription factor network	4	0.09091	1.398e-6	4.82e-4


Gene/Gene Set Overlap Matrix

Entrez Gene Id	Gene Symbol	Gene Description	NABA_ECM_AFFILIATED	NABA_MATRISOME	NABA_MATRISOME_ASSOCIATED	PID_HNF3A_PATHWAY
6441	SFTPD	surfactant protein D	NABA_ECM_AFFILIATED	NABA_MATRISOME	NABA_MATRISOME_ASSOCIATED	PID_HNF3A_PATHWAY
729238	SFTPA2	surfactant protein A2	NABA_ECM_AFFILIATED	NABA_MATRISOME	NABA_MATRISOME_ASSOCIATED	PID_HNF3A_PATHWAY
653509	SFTPA1	surfactant protein A1	NABA_ECM_AFFILIATED	NABA_MATRISOME	NABA_MATRISOME_ASSOCIATED	PID_HNF3A_PATHWAY
6440	SFTPC	surfactant protein C	NABA_ECM_AFFILIATED	NABA_MATRISOME	NABA_MATRISOME_ASSOCIATED	
6439	SFTPB	surfactant protein B	NABA_ECM_AFFILIATED	NABA_MATRISOME	NABA_MATRISOME_ASSOCIATED	
94025	MUC16	mucin 16, cell surface associated	NABA_ECM_AFFILIATED	NABA_MATRISOME	NABA_MATRISOME_ASSOCIATED	
8547	FCN3	ficolin 3	NABA_ECM_AFFILIATED	NABA_MATRISOME	NABA_MATRISOME_ASSOCIATED	
154790	CLEC2L	C-type lectin domain family 2 member L	NABA_ECM_AFFILIATED	NABA_MATRISOME	NABA_MATRISOME_ASSOCIATED	
10637	LEFTY1	left-right determination factor 1		NABA_MATRISOME	NABA_MATRISOME_ASSOCIATED	
3479	IGF1	insulin like growth factor 1		NABA_MATRISOME	NABA_MATRISOME_ASSOCIATED	
