Sample	path	tertiary_version_of_original_analysis	git_hash
TH34_1149_S02	/private/groups/treehouse/archive/downstream/TH34_1149_S02/tertiary/treehouse-care-0.17.1.0-8107fe7/compendium-v7	V11.1.0	bbe0bda20abacd068bdca36bcff2a04cff429217
TH34_1150_S02	/private/groups/treehouse/archive/downstream/TH34_1150_S02/tertiary/treehouse-care-0.17.1.0-8107fe7/compendium-v8	V13.0.0	fa99281902eecf8796a8cf82ce3a91024446d282
TH34_1162_S01	/private/groups/treehouse/archive/downstream/TH34_1162_S01/tertiary/treehouse-care-0.17.1.0-8107fe7/compendium-v7	V11.0.0	225877f0f6ed4630a2233d6f65ca091f673529bd
TH34_1163_S01	/private/groups/treehouse/archive/downstream/TH34_1163_S01/tertiary/treehouse-care-0.17.1.0-8107fe7/compendium-v7	V11.0.0	225877f0f6ed4630a2233d6f65ca091f673529bd
TH34_1179_S01	/private/groups/treehouse/archive/downstream/TH34_1179_S01/tertiary/treehouse-care-0.17.1.0-8107fe7/compendium-v7	V11.1.0	35bdf2381b283c25bd362c4141f5314ecd12944b
TH34_1238_S01	/private/groups/treehouse/archive/downstream/TH34_1238_S01/tertiary/treehouse-care-0.17.1.0-8107fe7/compendium-v7	V11.1.0	35bdf2381b283c25bd362c4141f5314ecd12944b
TH34_1239_S01	/private/groups/treehouse/archive/downstream/TH34_1239_S01/tertiary/treehouse-care-0.17.1.0-8107fe7/compendium-v7	V11.1.0	35bdf2381b283c25bd362c4141f5314ecd12944b
TH34_1240_S01	/private/groups/treehouse/archive/downstream/TH34_1240_S01/tertiary/treehouse-care-0.17.1.0-8107fe7/compendium-v7	V11.1.0	35bdf2381b283c25bd362c4141f5314ecd12944b
TH34_1349_S01	/private/groups/treehouse/archive/downstream/TH34_1349_S01/tertiary/treehouse-care-0.17.1.0-8107fe7.3/compendium-v8	V12.0.0	06c437f14d7cf652e65988a516cc70aa41cf3b9e
TH34_1349_S01	/private/groups/treehouse/archive/downstream/TH34_1349_S01/tertiary/treehouse-care-0.17.1.0-8107fe7.2/compendium-v8	V12.0.0	06c437f14d7cf652e65988a516cc70aa41cf3b9e
TH34_1349_S02	/private/groups/treehouse/archive/downstream/TH34_1349_S02/tertiary/treehouse-care-0.17.1.0-8107fe7.3/compendium-v8	V12.0.0	06c437f14d7cf652e65988a516cc70aa41cf3b9e
TH34_1349_S02	/private/groups/treehouse/archive/downstream/TH34_1349_S02/tertiary/treehouse-care-0.17.1.0-8107fe7.2/compendium-v8	V12.0.0	06c437f14d7cf652e65988a516cc70aa41cf3b9e
TH34_1350_S01	/private/groups/treehouse/archive/downstream/TH34_1350_S01/tertiary/treehouse-care-0.17.1.0-8107fe7/compendium-v8	V13.0.0	fa99281902eecf8796a8cf82ce3a91024446d282
