 	assay	results	details	details2	outlierDruggableGroup	Activated GeneSet Lead for CKCC paper	Upoutlier support	Pathway support	Other support	comment
TH01_0053_S01	new sample									
TH01_0053_S01	Disease	acute myeloid leukemia								
TH01_0053_S01	druggableUpOutlier	BTK	pc		B-cell receptor signaling	B-cell receptor signaling	BTK	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION (pc_up (6/267))		
TH01_0053_S01	druggableUpOutlier	FLT3	pc		Receptor Tyrosine Kinase (RTK)	Receptor Tyrosine Kinase (RTK)	FLT3	REACTOME_IMMUNE_SYSTEM (pc_up (11/933))		
TH01_0053_S01	geneSets_priority1	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION (pc_up (6/267))	druggable: FLT3 (pc)	overlap_genes_in_pc_up CSF3R,FLT3,IL12RB2,IL3RA,PF4,PPBP and pd_up IL12RB2						
TH01_0053_S01	geneSets_priority1	REACTOME_MYD88_MAL_CASCADE_INITIATED_ON_PLASMA_MEMBRANE (pc_up (3/83))	druggable: BTK (pc)	overlap_genes_in_pc_up BTK,MAPKAPK3,S100A12 and pd_up NA						
TH01_0053_S01	geneSets_broadCancer	REACTOME_IMMUNE_SYSTEM (pc_up (11/933))	druggable: BTK (pc)	overlap_genes_in_pc_up BTK,CFD,DEFA1,DEFA1B,DEFA3,DEFA4,ICAM3,IL3RA,MAPKAPK3,NCF4,RASGRP2,S100A12 and pd_up C2						
TH01_0053_S01	geneSets_broadCancer	KEGG_HEMATOPOIETIC_CELL_LINEAGE (pc_up (5/88))	druggable: FLT3 (pc)	overlap_genes_in_pc_up CD33,CSF3R,FLT3,IL3RA,ITGA2B and pd_up NA						
TH01_0053_S01	geneSets_nonCancer	REACTOME_INNATE_IMMUNE_SYSTEM (pc_up (7/279))	druggable: BTK (pc)	overlap_genes_in_pc_up BTK,CFD,DEFA1,DEFA1B,DEFA3,DEFA4,MAPKAPK3,S100A12 and pd_up C2						
TH01_0054_S01	new sample									
TH01_0054_S01	Disease	acute lymphoblastic leukemia								
TH01_0054_S01	druggableUpOutlier	FLT3	pc		Receptor Tyrosine Kinase (RTK)	Receptor Tyrosine Kinase (RTK)	FLT3	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION (comm_up (4/267) and pc_up (7/267) and pd_up (5/267))		now pathway is comm up too; otherwise as identified in previous manual review
TH01_0054_S01	druggableUpOutlier	FLT4	pc		Receptor Tyrosine Kinase (RTK)	Receptor Tyrosine Kinase (RTK)	FLT4	HALLMARK_KRAS_SIGNALING_UP (pc_up (5/200))		
TH01_0054_S01	druggableUpOutlier	MS4A1	pc		B-cell receptor signaling	B-cell receptor signaling	MS4A1	KEGG_HEMATOPOIETIC_CELL_LINEAGE (pc_up (8/88))		
TH01_0054_S01	geneSets_priority1	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION (comm_up (4/267) and pc_up (7/267) and pd_up (5/267))	druggable: FLT3 (pc), FLT4 (pc)	overlap_genes_in_pc_up CCL17,CRLF2,CX3CR1,FLT3,FLT4,PPBP,TNFSF4 and pd_up CCL17,CCL5,CRLF2,CX3CR1,PPBP						
TH01_0054_S01	geneSets_priority1	HALLMARK_KRAS_SIGNALING_UP (pc_up (5/200))	druggable: FLT4 (pc)	overlap_genes_in_pc_up FLT4,IKZF1,LAT2,PPBP,RETN and pd_up MMP9,PPBP						
TH01_0054_S01	geneSets_broadCancer	KEGG_HEMATOPOIETIC_CELL_LINEAGE (pc_up (8/88))	druggable: FLT3 (pc), MS4A1 (pc)	overlap_genes_in_pc_up CD19,CD22,DNTT,FLT3,GYPA,ITGA4,MME,MS4A1 and pd_up CD8A						
TH01_0055_S01	new sample									
TH01_0055_S01	Disease	glioma								
TH01_0055_S01	druggableUpOutlier	No druggableUpOutliers								
TH01_0055_S01		no enriched druggable geneSets								
TH01_0061_S01	new sample									
TH01_0061_S01	Disease	germ cell tumor								
TH01_0061_S01	druggableUpOutlier	No druggableUpOutliers								
TH01_0061_S01	NA	no enriched druggable geneSets								
TH01_0062_S01	new sample									
TH01_0062_S01	Disease	acute lymphoblastic leukemia								
TH01_0062_S01	druggableUpOutlier	BCL6	pc		BCL2/MDM2					
TH01_0062_S01	druggableUpOutlier	BTK	pc		B-cell receptor signaling	B-cell receptor signaling	BTK	BIOCARTA_BCR_PATHWAY (pc_up (7/37))		
TH01_0062_S01	druggableUpOutlier	CCND3	pc		Cell Cycle	Cell Cycle	CCND3	None	Analyst review: downstream of other pathways (per OM)	
TH01_0062_S01	druggableUpOutlier	IL6R	pc		JAK/STAT	JAK/STAT	IL6R	KEGG_JAK_STAT_SIGNALING_PATHWAY (pc_up (10/155))		
TH01_0062_S01	druggableUpOutlier	MS4A1	pc		B-cell receptor signaling	B-cell receptor signaling	MS4A1	KEGG_HEMATOPOIETIC_CELL_LINEAGE (pc_up (11/88))		
TH01_0062_S01	druggableUpOutlier	PIK3CD	pc		PI3K/AKT/mTOR	PI3K/AKT/mTOR	PIK3CD	PID_PI3KCI_PATHWAY (pc_up (7/49))		
TH01_0062_S01	druggableUpOutlier	PIK3R5	pc		PI3K/AKT/mTOR	PI3K/AKT/mTOR	PIK3R5	PID_PI3KCI_PATHWAY (pc_up (7/49))		
TH01_0062_S01	druggableUpOutlier	STAT5B	pc		JAK/STAT	JAK/STAT	STAT5B	KEGG_JAK_STAT_SIGNALING_PATHWAY (pc_up (10/155))		
TH01_0062_S01	geneSets_priority1	HALLMARK_TNFA_SIGNALING_VIA_NFKB (pc_up (13/200) and pd_up (6/200))	druggable: BCL6 (pc)	overlap_genes_in_pc_up BCL2A1,BCL6,CFLAR,EHD1,G0S2,KDM6B,KLF2,MAP2K3,MXD1,NAMPT,PLEK,PTGS2,PTX3 and pd_up CXCL1,IFIT2,NAMPT,OLR1,PTGS2,SOD2						
TH01_0062_S01	geneSets_priority1	REACTOME_SIGNALING_BY_GPCR (comm_up (8/920) and pc_up (30/920) and pd_up (10/920))	druggable: PIK3R5 (pc)	overlap_genes_in_pc_up ADORA2A,ADRBK1,ARHGEF1,C5AR1,CXCR1,CXCR2,FFAR2,FGD3,FPR1,FPR2,GRB2,HRH2,LPAR2,LTB4R,OXER1,P2RY13,PF4,PIK3R5,PLCB2,PPBP,PRKCB,PTAFR,RAC2,RASGRP2,RGS18,RGS19,RGS2,RHOG,S1PR4,VAV1 and pd_up ADORA2A,CXCL1,CXCR1,CXCR2,FFAR2,FPR1,FPR2,GNG10,OXER1,RGS2						
TH01_0062_S01	geneSets_priority1	KEGG_CHEMOKINE_SIGNALING_PATHWAY (pc_up (23/190))	druggable: PIK3CD (pc), PIK3R5 (pc), STAT5B (pc)	overlap_genes_in_pc_up ADRBK1,ARRB2,CSK,CXCR1,CXCR2,DOCK2,FGR,GRB2,GRK6,HCK,LYN,NCF1,PF4,PIK3CD,PIK3R5,PLCB2,PPBP,PRKCB,PTK2B,RAC2,RASGRP2,STAT5B,VAV1,WAS and pd_up CXCL1,CXCR1,CXCR2,GNG10						
TH01_0062_S01	geneSets_priority1	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION (pc_up (14/267) and pd_up (5/267))	druggable: IL6R (pc)	overlap_genes_in_pc_up CSF2RA,CSF2RB,CSF3R,CXCR1,CXCR2,IL17RA,IL1R2,IL6R,LTB,PF4,PPBP,RELT,TNFRSF10C,TNFRSF1B and pd_up CXCL1,CXCR1,CXCR2,IL1R2,TNFRSF10C						
TH01_0062_S01	geneSets_priority1	KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS (pc_up (14/97))	druggable: PIK3CD (pc), PIK3R5 (pc)	overlap_genes_in_pc_up ARPC3,ARPC5,DOCK2,HCK,LYN,NCF1,PIK3CD,PIK3R5,PLCG2,PRKCB,PTPRC,RAC2,VASP,VAV1,WAS and pd_up VASP						
TH01_0062_S01	geneSets_priority1	PID_CXCR4_PATHWAY (pc_up (16/102))	druggable: PIK3CD (pc), PIK3R5 (pc), STAT5B (pc)	overlap_genes_in_pc_up ADRBK1,ARRB2,CSK,FGR,GRK6,HCK,LYN,MMP9,PIK3CD,PIK3R5,PLCB2,PTK2B,PTPN6,PTPRC,STAT5B,VAV1 and pd_up MMP9						
TH01_0062_S01	geneSets_priority1	PID_PDGFRB_PATHWAY (pc_up (12/129))	druggable: PIK3CD (pc), PIK3R5 (pc), STAT5B (pc)	overlap_genes_in_pc_up ARAP1,ARPC3,ARPC5,CSK,FGR,GRB2,HCK,LYN,PIK3CD,PIK3R5,PTPRJ,STAT5B and pd_up NA						
TH01_0062_S01	geneSets_priority1	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM (pc_up (18/270))	druggable: IL6R (pc), PIK3CD (pc), STAT5B (pc)	overlap_genes_in_pc_up CSF2RA,CSF2RB,GRB2,HCK,IFITM2,IL1R2,IL6R,LYN,MAP3K3,MYD88,NUP214,PIK3CD,PTAFR,PTK2B,PTPN6,STAT5B,TRIM25,VAV1 and pd_up IFIT2,IL1R2						
TH01_0062_S01	geneSets_priority1	REACTOME_SIGNALING_BY_ILS (pc_up (14/107))	druggable: IL6R (pc), PIK3CD (pc), STAT5B (pc)	overlap_genes_in_pc_up CSF2RA,CSF2RB,GRB2,HCK,IL1R2,IL6R,LYN,MAP3K3,MYD88,PIK3CD,PTK2B,PTPN6,STAT5B,VAV1 and pd_up IL1R2						
