Sample_ID	comparison_cohort	gene	pathway_support	donor_ID	high_level_cohort	log2TPM1
TH34_1162_S01	PEDAYA	HMOX1	FALSE	TH34_1162	PEDAYA	9.943306
TH34_1162_S01	TCGA	HMOX1	FALSE	TH34_1162	TCGA	9.943306
TH34_1149_S02	PEDAYA	IGF1	TRUE	TH34_1149	PEDAYA	6.599318
TH34_1149_S02	TCGA	IGF1	TRUE	TH34_1149	TCGA	6.599318
TH34_1149_S02	TH03_TH34	IGF1	TRUE	TH34_1149	TH03_TH34	6.599318
TH34_1238_S01	PEDAYA	MS4A1	FALSE	TH34_1238	PEDAYA	8.134529
TH34_1238_S01	TCGA	MS4A1	TRUE	TH34_1238	TCGA	8.134529
TH34_1238_S01	TH03_TH34	MS4A1	TRUE	TH34_1238	TH03_TH34	8.134529
TH34_1349_S01	PEDAYA	KIT	FALSE	TH34_1349	PEDAYA	8.93705
TH34_1349_S01	TCGA	KIT	FALSE	TH34_1349	TCGA	8.93705
TH34_1349_S01	TH03_TH34	KIT	FALSE	TH34_1349	TH03_TH34	8.93705
TH34_1349_S02	PEDAYA	KIT	FALSE	TH34_1349	PEDAYA	10.05577
TH34_1349_S02	TCGA	KIT	FALSE	TH34_1349	TCGA	10.05577
TH34_1349_S02	TH03_TH34	KIT	FALSE	TH34_1349	TH03_TH34	10.05577
TH34_1379_S01	PEDAYA	FGFR4	FALSE	TH34_1379	PEDAYA	6.143026
TH34_1380_S01	PEDAYA	FGFR4	FALSE	TH34_1380	PEDAYA	6.553207
TH34_1150_S02	PEDAYA	JAK1	FALSE	TH34_1150	PEDAYA	8.600879
TH34_1150_S02	TCGA	JAK1	FALSE	TH34_1150	TCGA	8.600879
TH34_1150_S02	TH03_TH34	JAK1	FALSE	TH34_1150	TH03_TH34	8.600879
TH34_1150_S02	PEDAYA	PDCD1	FALSE	TH34_1150	PEDAYA	6.334139
TH34_1150_S02	TCGA	PDCD1	FALSE	TH34_1150	TCGA	6.334139
TH34_1150_S02	TH03_TH34	PDCD1	FALSE	TH34_1150	TH03_TH34	6.334139
TH34_1399_S01	PEDAYA	IGF1	TRUE	TH34_1399	PEDAYA	5.737687
TH34_1399_S01	TCGA	IGF1	TRUE	TH34_1399	TCGA	5.737687
TH34_1400_S01	PEDAYA	IGF1	TRUE	TH34_1400	PEDAYA	5.096768
TH34_1412_S01	PEDAYA	FGFR4	TRUE	TH34_1412	PEDAYA	7.347134
TH34_1414_S01	PEDAYA	ALK	FALSE	TH34_1414	PEDAYA	5.261531
TH34_1414_S01	TCGA	ALK	FALSE	TH34_1414	TCGA	5.261531
TH34_1414_S01	TH03_TH34	ALK	FALSE	TH34_1414	TH03_TH34	5.261531
