sample_id	gene	pc_up	pd_up	druggable	has_pathway_support
TH34_1162_S01	JAK1	TRUE	FALSE	TRUE	TRUE
TH34_1179_S01	FGFR1	TRUE	FALSE	TRUE	TRUE
TH34_1179_S01	PTCH1	TRUE	FALSE	TRUE	TRUE
TH34_1238_S01	BTK	TRUE	FALSE	TRUE	TRUE
TH34_1238_S01	CCND3	TRUE	FALSE	TRUE	TRUE
TH34_1238_S01	MTOR	TRUE	FALSE	TRUE	TRUE
TH34_1238_S01	PIK3CD	TRUE	FALSE	TRUE	TRUE
TH34_1238_S01	RPTOR	TRUE	FALSE	TRUE	TRUE
TH34_1239_S01	BTK	TRUE	FALSE	TRUE	TRUE
TH34_1239_S01	CCND3	TRUE	FALSE	TRUE	TRUE
TH34_1239_S01	PIK3CD	TRUE	FALSE	TRUE	TRUE
TH34_1239_S01	PIK3R5	TRUE	FALSE	TRUE	TRUE
TH34_1349_S01	PTCH1	TRUE	FALSE	TRUE	TRUE
TH34_1349_S02	PTCH1	TRUE	FALSE	TRUE	TRUE
TH34_1350_S01	BTK	TRUE	FALSE	TRUE	TRUE
TH34_1350_S01	PIK3R5	TRUE	FALSE	TRUE	TRUE
TH34_1352_S01	FGFR1	TRUE	FALSE	TRUE	TRUE
TH34_1381_S01	HSP90B1	TRUE	TRUE	TRUE	TRUE
TH34_1412_S01	KDR	TRUE	FALSE	TRUE	TRUE
TH34_1414_S01	CDK4	TRUE	FALSE	TRUE	TRUE
TH34_1415_S01	IL6	TRUE	FALSE	TRUE	TRUE
TH34_1444_S01	KIT	TRUE	TRUE	TRUE	TRUE
TH34_1444_S01	TSC2	TRUE	TRUE	TRUE	TRUE
TH34_1452_S01	PIK3R2	TRUE	FALSE	TRUE	TRUE
TH34_1452_S01	TSC2	TRUE	FALSE	TRUE	TRUE
TH34_1456_S02	KDR	TRUE	TRUE	TRUE	TRUE
TH34_2292_S01	FLT4	TRUE	FALSE	TRUE	TRUE
TH34_2292_S01	HMOX1	TRUE	FALSE	TRUE	TRUE
TH34_2292_S01	VEGFA	TRUE	FALSE	TRUE	TRUE
TH34_2293_S01	IGF2	TRUE	FALSE	TRUE	TRUE
TH34_2351_S01	IGF2	TRUE	FALSE	TRUE	TRUE
TH34_2411_S01	CDK4	TRUE	TRUE	TRUE	TRUE
TH34_2411_S01	MAP2K2	TRUE	TRUE	TRUE	TRUE
TH34_2411_S01	MDM2	TRUE	TRUE	TRUE	TRUE
TH34_1162_S01	CSF1R	FALSE	TRUE	FALSE	TRUE
TH34_1352_S01	CCND2	FALSE	TRUE	FALSE	TRUE
TH34_1352_S01	RAF1	FALSE	TRUE	FALSE	TRUE
TH34_1352_S01	STAT2	FALSE	TRUE	FALSE	TRUE
TH34_1379_S01	FGFR1	FALSE	TRUE	FALSE	TRUE
TH34_1381_S01	ERBB2	FALSE	TRUE	FALSE	TRUE
TH34_1400_S01	STAT5A	FALSE	TRUE	FALSE	TRUE
TH34_1444_S01	PIK3R2	FALSE	TRUE	FALSE	TRUE
TH34_1444_S01	AKT1	FALSE	TRUE	FALSE	TRUE
TH34_1444_S01	RAF1	FALSE	TRUE	FALSE	TRUE
TH34_1447_S01	CCNE1	FALSE	TRUE	FALSE	TRUE
TH34_1447_S01	PARP1	FALSE	TRUE	FALSE	TRUE
TH34_1455_S01	ERBB2	FALSE	TRUE	FALSE	TRUE
TH34_1455_S01	HSP90AA1	FALSE	TRUE	FALSE	TRUE
TH34_2351_S01	HMOX1	FALSE	TRUE	FALSE	TRUE
TH34_1149_S02	AC006262.5	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	AC055736.1	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	AC093818.1	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	ADAM19	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	ADRA1B	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	AGER	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	AMH	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	ANKRD1	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	APBB2	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	ATP1B3	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	BANCR	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	C21orf91	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	C8orf58	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	CDC14A	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	CHKB-CPT1B	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	CLEC2L	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	CMKLR1	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	CSNK2B-LY6G5B-1181	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	DESI2	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	DKFZp434J0226	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	DLGAP1	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	ENO3	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	EPHA7	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	FAM159B	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	FBXO32	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	FBXW7	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	FCN3	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	FNTB	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	HSPA2	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	HSPG2	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	IGF1	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	IGFL2	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	IGFL3	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	ITGA6	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	KANK4	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	KRT4	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	KRT6A	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	L1TD1	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	LBX1-AS1	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	LEFTY1	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	LENG8	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	LINC00052	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	LTF	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	MACF1	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	MAML3	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	MARCH9	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	MAX	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	MDM1	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	MEOX2	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	METTL22	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	MFAP5	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	MIAT	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	MIAT_exon5_3	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	MPP3	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	MTATP6P1	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	MUC16	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	NAPSA	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	NCCRP1	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	NHSL2	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	NPIPB3	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	NPIPB4	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	NPIPB5	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	NTRK3	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	NUAK1	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	PCDH19	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	PCGF5	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	PDE11A	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	PGC	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	PODXL	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	RAB15	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	RGS11	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	RIMKLB	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	RNF19A	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	RP11-1212A22.4	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	RP11-159D12.5	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	RP11-166B2.1	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	RP11-231C14.4	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	RP11-337N6.1	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	RP11-394O4.5	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	RP11-478C6.4	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	RP11-677O4.6	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	RP11-81H14.2	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	RP5-857K21.11	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	RTTN	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	SCGB1A1	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	SCGB3A1	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	SCGB3A2	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	SFTA2	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	SFTPA1	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	SFTPA2	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	SFTPB	TRUE	FALSE	FALSE	FALSE
TH34_1149_S02	SFTPC	TRUE	FALSE	FALSE	FALSE
