gene	Sample_ID	compendium_version	drugs	rollup_cohort	Pathway_support_for_outlier
ABHD6	TH34_1162_S01	v7		v11_PEDAYA_rollup	NO_OVERLAPS_FOUND
ABHD6	TH34_1162_S01	v7		v11_TCGA_rollup	NO_OVERLAPS_FOUND
ABHD6	TH34_1162_S01	v7		v11_TH03_TH34_rollup	NO_OVERLAPS_FOUND
ABHD6	TH34_1162_S01	v7		v7_PEDAYA_rollup	NO_OVERLAPS_FOUND
ABHD6	TH34_1162_S01	v7		v7_TCGA_rollup	NO_OVERLAPS_FOUND
ABHD6	TH34_1162_S01	v7		v7_TH03_TH34_rollup	NO_OVERLAPS_FOUND
ACACB	TH34_1162_S01	v7		v11_PEDAYA_rollup	NO_OVERLAPS_FOUND
ACACB	TH34_1162_S01	v7		v11_TCGA_rollup	NO_OVERLAPS_FOUND
ACACB	TH34_1162_S01	v7		v11_TH03_TH34_rollup	NO_OVERLAPS_FOUND
ACACB	TH34_1162_S01	v7		v7_PEDAYA_rollup	NO_OVERLAPS_FOUND
ACACB	TH34_1162_S01	v7		v7_TCGA_rollup	NO_OVERLAPS_FOUND
ACACB	TH34_1162_S01	v7		v7_TH03_TH34_rollup	NO_OVERLAPS_FOUND
ACIN1	TH34_1162_S01	v7		v11_TCGA_rollup	NO_OVERLAPS_FOUND
ACIN1	TH34_1162_S01	v7		v7_TCGA_rollup	NO_OVERLAPS_FOUND
ACTN2	TH34_1162_S01	v7		v11_TCGA_rollup	NO_OVERLAPS_FOUND
ACTN2	TH34_1162_S01	v7		v11_TH03_TH34_rollup	NO_OVERLAPS_FOUND
ACTN2	TH34_1162_S01	v7		v7_TCGA_rollup	NO_OVERLAPS_FOUND
ACTN2	TH34_1162_S01	v7		v7_TH03_TH34_rollup	NO_OVERLAPS_FOUND
ADAMTS10	TH34_1162_S01	v7		v11_TCGA_rollup	NO_OVERLAPS_FOUND
ADAMTS10	TH34_1162_S01	v7		v7_TCGA_rollup	NO_OVERLAPS_FOUND
ADGRG2	TH34_1162_S01	v7		v11_PEDAYA_rollup	NO_OVERLAPS_FOUND
ADGRG2	TH34_1162_S01	v7		v11_TCGA_rollup	NO_OVERLAPS_FOUND
ADGRG2	TH34_1162_S01	v7		v11_TH03_TH34_rollup	NO_OVERLAPS_FOUND
ADGRG2	TH34_1162_S01	v7		v7_PEDAYA_rollup	NO_OVERLAPS_FOUND
ADGRG2	TH34_1162_S01	v7		v7_TCGA_rollup	NO_OVERLAPS_FOUND
ADGRG2	TH34_1162_S01	v7		v7_TH03_TH34_rollup	NO_OVERLAPS_FOUND
AGER	TH34_1162_S01	v7		v11_TCGA_rollup	NO_OVERLAPS_FOUND
AGER	TH34_1162_S01	v7		v7_TCGA_rollup	NO_OVERLAPS_FOUND
ALG9	TH34_1162_S01	v7		v11_TCGA_rollup	NO_OVERLAPS_FOUND
ALG9	TH34_1162_S01	v7		v11_TH03_TH34_rollup	NO_OVERLAPS_FOUND
ALG9	TH34_1162_S01	v7		v7_TCGA_rollup	NO_OVERLAPS_FOUND
ALG9	TH34_1162_S01	v7		v7_TH03_TH34_rollup	NO_OVERLAPS_FOUND
AP4B1	TH34_1162_S01	v7		v11_TCGA_rollup	NO_OVERLAPS_FOUND
AP4B1	TH34_1162_S01	v7		v11_TH03_TH34_rollup	NO_OVERLAPS_FOUND
AP4B1	TH34_1162_S01	v7		v7_TCGA_rollup	NO_OVERLAPS_FOUND
AP4B1	TH34_1162_S01	v7		v7_TH03_TH34_rollup	NO_OVERLAPS_FOUND
ARHGAP17	TH34_1162_S01	v7		v11_PEDAYA_rollup	NO_OVERLAPS_FOUND
ARHGAP17	TH34_1162_S01	v7		v11_TCGA_rollup	NO_OVERLAPS_FOUND
ARHGAP17	TH34_1162_S01	v7		v11_TH03_TH34_rollup	NO_OVERLAPS_FOUND
ARHGAP17	TH34_1162_S01	v7		v7_PEDAYA_rollup	NO_OVERLAPS_FOUND
ARHGAP17	TH34_1162_S01	v7		v7_TCGA_rollup	NO_OVERLAPS_FOUND
ARHGAP17	TH34_1162_S01	v7		v7_TH03_TH34_rollup	NO_OVERLAPS_FOUND
ARTN	TH34_1162_S01	v7		v11_PEDAYA_rollup	NO_OVERLAPS_FOUND
ARTN	TH34_1162_S01	v7		v11_TCGA_rollup	NO_OVERLAPS_FOUND
ARTN	TH34_1162_S01	v7		v11_TH03_TH34_rollup	NO_OVERLAPS_FOUND
ARTN	TH34_1162_S01	v7		v7_PEDAYA_rollup	NO_OVERLAPS_FOUND
ARTN	TH34_1162_S01	v7		v7_TCGA_rollup	NO_OVERLAPS_FOUND
