gene	Sample_ID	compendium_version	drugs	rollup_cohort	Pathway_support_for_outlier
AC006262.5	TH34_1149_S02	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
AC055736.1	TH34_1149_S02	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
AC093818.1	TH34_1149_S02	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
ADAM19	TH34_1149_S02	v7		pancancer	NABA_MATRISOME(15/1028),NABA_MATRISOME_ASSOCIATED(13/753)
ADRA1B	TH34_1149_S02	v7		pancancer	NA
AGER	TH34_1149_S02	v7		pancancer	NA
AMH	TH34_1149_S02	v7		pancancer	NABA_MATRISOME(15/1028),NABA_MATRISOME_ASSOCIATED(13/753)
ANKRD1	TH34_1149_S02	v7		pancancer	NA
APBB2	TH34_1149_S02	v7		pancancer	NA
ATP1B3	TH34_1149_S02	v7		pancancer	NA
BANCR	TH34_1149_S02	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
C21orf91	TH34_1149_S02	v7		pancancer	NA
C8orf58	TH34_1149_S02	v7		pancancer	NA
CDC14A	TH34_1149_S02	v7		pancancer	NA
CHKB-CPT1B	TH34_1149_S02	v7		pancancer	NA
CLEC2L	TH34_1149_S02	v7		pancancer	NABA_ECM_AFFILIATED(9/171),NABA_MATRISOME(15/1028),NABA_MATRISOME_ASSOCIATED(13/753)
CMKLR1	TH34_1149_S02	v7		pancancer	NA
CSNK2B-LY6G5B-1181	TH34_1149_S02	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
DESI2	TH34_1149_S02	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
DKFZp434J0226	TH34_1149_S02	v7		pancancer	NA
DLGAP1	TH34_1149_S02	v7		pancancer	NA
ENO3	TH34_1149_S02	v7		pancancer	NA
EPHA7	TH34_1149_S02	v7		pancancer	NA
FAM159B	TH34_1149_S02	v7		pancancer	NA
FBXO32	TH34_1149_S02	v7		pancancer	NA
FBXW7	TH34_1149_S02	v7	Sirolimus,RAPAMYCIN (SIROLIMUS)	pancancer	NA
FCN3	TH34_1149_S02	v7		pancancer	NABA_ECM_AFFILIATED(9/171),NABA_MATRISOME(15/1028),NABA_MATRISOME_ASSOCIATED(13/753)
FNTB	TH34_1149_S02	v7		pancancer	NA
HSPA2	TH34_1149_S02	v7		pancancer	NA
HSPG2	TH34_1149_S02	v7		pancancer	NABA_MATRISOME(15/1028)
IGF1	TH34_1149_S02	v7		pancancer	NABA_MATRISOME(15/1028),NABA_MATRISOME_ASSOCIATED(13/753)
IGFL2	TH34_1149_S02	v7		pancancer	NA
IGFL3	TH34_1149_S02	v7		pancancer	NA
ITGA6	TH34_1149_S02	v7		pancancer	NA
KANK4	TH34_1149_S02	v7		pancancer	NA
KRT4	TH34_1149_S02	v7		pancancer	NA
KRT6A	TH34_1149_S02	v7		pancancer	NA
L1TD1	TH34_1149_S02	v7		pancancer	NA
LBX1-AS1	TH34_1149_S02	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
LEFTY1	TH34_1149_S02	v7		pancancer	NABA_MATRISOME(15/1028),NABA_MATRISOME_ASSOCIATED(13/753)
LENG8	TH34_1149_S02	v7		pancancer	NA
LINC00052	TH34_1149_S02	v7		pancancer	NA
LTF	TH34_1149_S02	v7		pancancer	NA
MACF1	TH34_1149_S02	v7		pancancer	NA
MAML3	TH34_1149_S02	v7		pancancer	NA
MARCH9	TH34_1149_S02	v7		pancancer	NA
MAX	TH34_1149_S02	v7		pancancer	NA
MDM1	TH34_1149_S02	v7		pancancer	NA
MEOX2	TH34_1149_S02	v7		pancancer	NA
METTL22	TH34_1149_S02	v7		pancancer	NA
MFAP5	TH34_1149_S02	v7		pancancer	NABA_MATRISOME(15/1028)
MIAT	TH34_1149_S02	v7		pancancer	NA
MIAT_exon5_3	TH34_1149_S02	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
MPP3	TH34_1149_S02	v7		pancancer	NA
MTATP6P1	TH34_1149_S02	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
MUC16	TH34_1149_S02	v7		pancancer	NABA_ECM_AFFILIATED(9/171),NABA_MATRISOME(15/1028),NABA_MATRISOME_ASSOCIATED(13/753)
NAPSA	TH34_1149_S02	v7		pancancer	NA
NCCRP1	TH34_1149_S02	v7		pancancer	NA
NHSL2	TH34_1149_S02	v7		pancancer	NA
NPIPB3	TH34_1149_S02	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
NPIPB4	TH34_1149_S02	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
NPIPB5	TH34_1149_S02	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
NTRK3	TH34_1149_S02	v7	Entrectinib,ENTRECTINIB	pancancer	NA
NUAK1	TH34_1149_S02	v7		pancancer	NA
PCDH19	TH34_1149_S02	v7		pancancer	NA
PCGF5	TH34_1149_S02	v7		pancancer	NA
PDE11A	TH34_1149_S02	v7		pancancer	NA
PGC	TH34_1149_S02	v7		pancancer	NA
PODXL	TH34_1149_S02	v7		pancancer	NA
RAB15	TH34_1149_S02	v7		pancancer	NA
RGS11	TH34_1149_S02	v7		pancancer	NA
RIMKLB	TH34_1149_S02	v7		pancancer	NA
RNF19A	TH34_1149_S02	v7		pancancer	NA
RP11-1212A22.4	TH34_1149_S02	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
RP11-159D12.5	TH34_1149_S02	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
RP11-166B2.1	TH34_1149_S02	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
RP11-231C14.4	TH34_1149_S02	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
RP11-337N6.1	TH34_1149_S02	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
RP11-394O4.5	TH34_1149_S02	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
RP11-478C6.4	TH34_1149_S02	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
RP11-677O4.6	TH34_1149_S02	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
RP11-81H14.2	TH34_1149_S02	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
RP5-857K21.11	TH34_1149_S02	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
RTTN	TH34_1149_S02	v7		pancancer	NA
SCGB1A1	TH34_1149_S02	v7		pancancer	PID_HNF3A_PATHWAY(4/44)
SCGB3A1	TH34_1149_S02	v7		pancancer	NA
SCGB3A2	TH34_1149_S02	v7		pancancer	NA
SFTA2	TH34_1149_S02	v7		pancancer	NABA_ECM_AFFILIATED(9/171),NABA_MATRISOME(15/1028),NABA_MATRISOME_ASSOCIATED(13/753)
SFTPA1	TH34_1149_S02	v7		pancancer	NABA_ECM_AFFILIATED(9/171),NABA_MATRISOME(15/1028),NABA_MATRISOME_ASSOCIATED(13/753),PID_HNF3A_PATHWAY(4/44)
SFTPA2	TH34_1149_S02	v7		pancancer	NABA_ECM_AFFILIATED(9/171),NABA_MATRISOME(15/1028),NABA_MATRISOME_ASSOCIATED(13/753),PID_HNF3A_PATHWAY(4/44)
SFTPB	TH34_1149_S02	v7		pancancer	NABA_ECM_AFFILIATED(9/171),NABA_MATRISOME(15/1028),NABA_MATRISOME_ASSOCIATED(13/753)
SFTPC	TH34_1149_S02	v7		pancancer	NABA_ECM_AFFILIATED(9/171),NABA_MATRISOME(15/1028),NABA_MATRISOME_ASSOCIATED(13/753)
SFTPD	TH34_1149_S02	v7		pancancer	NABA_ECM_AFFILIATED(9/171),NABA_MATRISOME(15/1028),NABA_MATRISOME_ASSOCIATED(13/753),PID_HNF3A_PATHWAY(4/44)
SOCS6	TH34_1149_S02	v7		pancancer	NA
SOX17	TH34_1149_S02	v7		pancancer	NA
SPTBN4	TH34_1149_S02	v7		pancancer	NA
TARBP1	TH34_1149_S02	v7		pancancer	NA
TENM2	TH34_1149_S02	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
TLR8-AS1	TH34_1149_S02	v7		pancancer	NA
TMSB4XP4	TH34_1149_S02	v7		pancancer	NO_PATHWAY_SUPPORT_RESULTS
TNNI3	TH34_1149_S02	v7		pancancer	NA
USP1	TH34_1149_S02	v7		pancancer	NA
WSCD2	TH34_1149_S02	v7		pancancer	NA
ZDHHC19	TH34_1149_S02	v7		pancancer	NA
ABCA5	TH34_1150_S02	v8		pancancer	NA
ABHD6	TH34_1150_S02	v8		pancancer	NA
ACIN1	TH34_1150_S02	v8		pancancer	KEGG_SPLICEOSOME(8/128)
ACTN2	TH34_1150_S02	v8		pancancer	NA
ADAM33	TH34_1150_S02	v8		pancancer	NA
ADAM33	TH34_1150_S02	v8		pandisease	NA
ADAMTS10	TH34_1150_S02	v8		pancancer	NA
ADGRG2	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
ADRA1D	TH34_1150_S02	v8		pancancer	NA
AHI1	TH34_1150_S02	v8		pancancer	NA
AHI1	TH34_1150_S02	v8		pandisease	NA
AHSA2	TH34_1150_S02	v8		pancancer	NA
AK3	TH34_1150_S02	v8		pancancer	NA
AL442127.1	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
AMER2	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
AP4B1	TH34_1150_S02	v8		pancancer	NA
ARHGAP17	TH34_1150_S02	v8		pancancer	NA
ARL17A	TH34_1150_S02	v8		pancancer	NA
ARL17A	TH34_1150_S02	v8		pandisease	NA
ARPP21	TH34_1150_S02	v8		pancancer	NA
ARTN	TH34_1150_S02	v8		pancancer	NA
ARX	TH34_1150_S02	v8		pancancer	NA
ASXL1	TH34_1150_S02	v8		pancancer	NA
ATAT1	TH34_1150_S02	v8		pancancer	NA
BCL11B	TH34_1150_S02	v8		pancancer	NA
BMI1	TH34_1150_S02	v8		pancancer	NA
BRD8	TH34_1150_S02	v8		pancancer	NA
BRPF3	TH34_1150_S02	v8		pancancer	NA
BRPF3	TH34_1150_S02	v8		pandisease	NA
BTAF1	TH34_1150_S02	v8		pancancer	NA
C1QL2	TH34_1150_S02	v8		pancancer	NA
C3orf17	TH34_1150_S02	v8		pancancer	NA
CACNA2D1	TH34_1150_S02	v8		pancancer	NA
CACNB2	TH34_1150_S02	v8		pancancer	NA
CALCA	TH34_1150_S02	v8		pancancer	NA
CALCB	TH34_1150_S02	v8		pancancer	NA
CAMK1G	TH34_1150_S02	v8		pancancer	NA
CAPRIN1	TH34_1150_S02	v8		pancancer	NA
CBFA2T2	TH34_1150_S02	v8		pancancer	NA
CCDC14	TH34_1150_S02	v8		pancancer	NA
CCDC171	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
CCDC90B	TH34_1150_S02	v8		pancancer	NA
CCER2	TH34_1150_S02	v8		pancancer	NO_PATHWAY_SUPPORT_RESULTS
CD99	TH34_1150_S02	v8		pancancer	NA
CD99P1	TH34_1150_S02	v8		pancancer	NA
CDC37L1	TH34_1150_S02	v8		pancancer	NA
CDC40	TH34_1150_S02	v8		pancancer	KEGG_SPLICEOSOME(8/128),REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA(8/140),REACTOME_MRNA_PROCESSING(8/161),REACTOME_MRNA_SPLICING(7/111),REACTOME_MRNA_3_END_PROCESSING(4/35),REACTOME_CLEAVAGE_OF_GROWING_TRANSCRIPT_IN_THE_TERMINATION_REGION_(4/44)
CDK13	TH34_1150_S02	v8		pancancer	NA
CEP57	TH34_1150_S02	v8		pancancer	NA
CEP95	TH34_1150_S02	v8		pancancer	NA
CES4A	TH34_1150_S02	v8		pancancer	NA
CHD3	TH34_1150_S02	v8		pancancer	NA
CHD9	TH34_1150_S02	v8		pancancer	NA
CHN2	TH34_1150_S02	v8		pancancer	NA
CIC	TH34_1150_S02	v8	SELUMETINIB (AZD6244),VEMURAFENIB,TRAMETINIB	pancancer	NA
CIC	TH34_1150_S02	v8	SELUMETINIB (AZD6244),VEMURAFENIB,TRAMETINIB	pandisease	NA
CLASP2	TH34_1150_S02	v8		pancancer	NA
